READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
2047,0.416468,0.40489,0.396446,0.390559,0.38698,0.385172,0.384026,0.381923,0.378844,0.376266,0.375139,0.375725,0.377407,0.378208,0.377497,0.377034,0.377847,0.379714,0.38048,0.378215,0.373667,0.367466,0.36091,0.354889,0.350577,0.351559,0.359431,0.374058,0.39274,0.411781,0.430324,0.44937,0.4665,0.48036,0.49505,0.512179,0.527957,0.539576,0.553095,0.572453,0.592671,0.606543,0.615004,0.622137,0.626491,0.624942,0.620068,0.618824,0.622429,0.627892
2087,0.385032,0.376653,0.369786,0.367954,0.372461,0.382944,0.397372,0.412005,0.425859,0.439476,0.455007,0.471651,0.484864,0.488631,0.485109,0.476123,0.460809,0.439122,0.41612,0.394857,0.375171,0.357418,0.342432,0.330774,0.32498,0.327015,0.334003,0.344086,0.355256,0.366533,0.37819,0.388998,0.393688,0.392946,0.389327,0.384699,0.377634,0.370715,0.364996,0.361908,0.359114,0.356614,0.358062,0.365168,0.376433,0.388153,0.397633,0.40633,0.415949,0.423332
2089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2100,0.384391,0.385334,0.389451,0.395073,0.396799,0.394622,0.392906,0.392304,0.392015,0.392624,0.390692,0.383336,0.373961,0.364521,0.355625,0.348752,0.342922,0.332151,0.317589,0.301204,0.282603,0.262003,0.242582,0.231629,0.228983,0.230767,0.233027,0.237416,0.24349,0.250883,0.25812,0.264914,0.273232,0.283724,0.297019,0.311394,0.323689,0.334261,0.342856,0.350554,0.357818,0.363941,0.366082,0.365133,0.36414,0.363004,0.364114,0.368568,0.375426,0.383233
2155,0.499666,0.498343,0.494681,0.490814,0.485428,0.477587,0.468349,0.457302,0.444483,0.43122,0.41828,0.405748,0.393234,0.382855,0.376927,0.373835,0.370854,0.366897,0.362782,0.360436,0.361994,0.365883,0.365786,0.361553,0.358645,0.359155,0.363781,0.369626,0.375219,0.383079,0.395039,0.408026,0.415072,0.42029,0.428803,0.441781,0.457817,0.475912,0.494932,0.513237,0.526592,0.536437,0.546232,0.55341,0.552453,0.551096,0.553847,0.562234,0.577179,0.594119
2159,0.498043,0.512707,0.523664,0.531363,0.536115,0.537276,0.534723,0.529729,0.522275,0.511677,0.498487,0.484719,0.47124,0.457558,0.44352,0.429045,0.413614,0.396306,0.37665,0.355588,0.334905,0.316331,0.301604,0.292787,0.291324,0.297125,0.306734,0.31785,0.330748,0.345154,0.360397,0.373064,0.380631,0.384322,0.385934,0.387957,0.393077,0.402797,0.416132,0.431871,0.446427,0.459115,0.472764,0.488422,0.49973,0.506078,0.511596,0.517162,0.519055,0.51519
2192,0.527052,0.51819,0.508798,0.500025,0.491565,0.486424,0.481908,0.474624,0.458797,0.440651,0.427506,0.420458,0.41982,0.42503,0.424145,0.413557,0.405368,0.402375,0.402891,0.399834,0.391015,0.384335,0.38106,0.380879,0.379583,0.38027,0.385907,0.397448,0.407864,0.418084,0.43272,0.450836,0.466382,0.478448,0.491236,0.505847,0.521378,0.534845,0.545266,0.556036,0.56621,0.574518,0.575563,0.569461,0.558359,0.545649,0.528613,0.502275,0.474274,0.454631
2239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,0.489976,0.492432,0.495158,0.495515,0.489478,0.479009,0.470368,0.464733,0.463395,0.468573,0.479914,0.492514,0.500221,0.502893,0.50015,0.489219,0.47027,0.447337,0.423026,0.398128,0.374171,0.352143,0.334415,0.323764,0.321692,0.326055,0.334423,0.347297,0.363496,0.377804,0.389737,0.40296,0.415005,0.418184,0.418522,0.41993,0.422744,0.426251,0.432102,0.439934,0.445848,0.451666,0.458918,0.464176,0.462656,0.45874,0.454882,0.451658,0.450348,0.453285
2257,0.413499,0.421635,0.429458,0.435898,0.440091,0.441863,0.442023,0.440098,0.436688,0.431957,0.426169,0.419812,0.413143,0.405322,0.395938,0.384557,0.372074,0.359656,0.348172,0.33806,0.330089,0.324258,0.320279,0.318232,0.317667,0.31801,0.319145,0.320754,0.323533,0.328764,0.338023,0.352649,0.373201,0.398407,0.426128,0.454447,0.482296,0.50833,0.531377,0.551463,0.569644,0.585942,0.598146,0.604042,0.605584,0.605792,0.605371,0.602535,0.595666,0.587484
2315,0.298809,0.298671,0.297171,0.299144,0.304708,0.312963,0.324697,0.339171,0.350008,0.356917,0.36298,0.367778,0.371778,0.380465,0.395458,0.405444,0.408028,0.407225,0.402819,0.390399,0.361302,0.322291,0.28687,0.266783,0.264527,0.276974,0.298114,0.320879,0.340459,0.356983,0.368317,0.375408,0.381268,0.383002,0.390556,0.403652,0.412309,0.418005,0.42204,0.420901,0.41707,0.414579,0.412343,0.409205,0.406741,0.406492,0.411497,0.420938,0.429296,0.43618
