READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
2010,0.430732,0.427015,0.422846,0.419275,0.41713,0.414979,0.412077,0.409389,0.408275,0.407992,0.408439,0.409808,0.412438,0.415896,0.418835,0.420384,0.419672,0.417435,0.414388,0.410095,0.402051,0.390161,0.377483,0.365483,0.354824,0.345319,0.337572,0.332767,0.330906,0.330175,0.328395,0.325865,0.323714,0.322207,0.320241,0.317685,0.316625,0.316867,0.316878,0.315697,0.313999,0.31257,0.311949,0.312477,0.313564,0.313542,0.312488,0.311115,0.310016,0.307371
2047,0.441909,0.438793,0.435847,0.433001,0.429395,0.425519,0.421968,0.418657,0.415714,0.41331,0.411397,0.409652,0.407903,0.406966,0.406747,0.406338,0.40484,0.402357,0.398995,0.394851,0.389594,0.383257,0.376056,0.367919,0.357592,0.345377,0.333998,0.32501,0.318489,0.313499,0.309775,0.306748,0.303212,0.299317,0.294427,0.288833,0.283393,0.278568,0.274326,0.271633,0.271225,0.272514,0.274367,0.276218,0.278941,0.282116,0.2843,0.283947,0.282734,0.281752
2087,0.460545,0.457269,0.453513,0.44718,0.440084,0.434142,0.43184,0.433578,0.440677,0.450863,0.456567,0.450657,0.44114,0.43121,0.417509,0.399809,0.382645,0.368677,0.358379,0.350159,0.344433,0.340933,0.335493,0.325405,0.309812,0.292105,0.276155,0.26424,0.255943,0.25045,0.245439,0.240411,0.235986,0.233747,0.232863,0.233248,0.236943,0.246622,0.261375,0.274343,0.281511,0.286214,0.291992,0.298493,0.299635,0.296232,0.292054,0.287894,0.283075,0.276473
2089,0.438361,0.425089,0.415037,0.406862,0.398653,0.392407,0.389654,0.389097,0.388348,0.388613,0.389405,0.387391,0.382462,0.377237,0.372625,0.367726,0.363429,0.360822,0.359672,0.358146,0.355756,0.354498,0.353005,0.350087,0.345646,0.34098,0.337124,0.333947,0.331334,0.329336,0.327047,0.325489,0.326284,0.329318,0.332119,0.334922,0.335818,0.3342,0.33115,0.32808,0.323549,0.318653,0.314798,0.309893,0.303796,0.295453,0.286644,0.277108,0.26958,0.264496
2100,0.427335,0.424098,0.420267,0.417085,0.414701,0.413163,0.413145,0.414323,0.415334,0.414574,0.413321,0.411939,0.410345,0.40623,0.400066,0.391718,0.383227,0.374896,0.366288,0.358103,0.350677,0.343403,0.335808,0.328224,0.321425,0.316481,0.313085,0.311459,0.31238,0.315225,0.318968,0.322365,0.324319,0.324935,0.326931,0.330326,0.332146,0.332219,0.332387,0.333723,0.337383,0.343856,0.352365,0.360258,0.366494,0.371557,0.374376,0.376633,0.377213,0.37777
2155,0.464657,0.463719,0.460776,0.457573,0.45516,0.451816,0.446004,0.440908,0.437981,0.436514,0.435191,0.434183,0.434308,0.434421,0.431201,0.423613,0.415864,0.408992,0.401761,0.391934,0.381075,0.370864,0.361056,0.350735,0.339837,0.329828,0.321155,0.31399,0.30902,0.305314,0.303374,0.303597,0.305193,0.307021,0.308574,0.309868,0.310365,0.308812,0.30638,0.303781,0.300581,0.296687,0.293776,0.291702,0.289846,0.287721,0.284178,0.280637,0.278496,0.278444
2159,0.483053,0.47412,0.466149,0.456907,0.444712,0.431421,0.417885,0.406083,0.39603,0.385651,0.373079,0.361529,0.352646,0.347708,0.347697,0.350938,0.353438,0.353577,0.35193,0.349178,0.346125,0.341985,0.33599,0.326295,0.314577,0.303187,0.294782,0.292998,0.297897,0.306037,0.313423,0.319019,0.325638,0.333679,0.341925,0.347547,0.350831,0.353981,0.357353,0.360431,0.363611,0.366973,0.368152,0.368562,0.372166,0.379513,0.384746,0.382939,0.377337,0.376501
2192,0.382431,0.381187,0.385567,0.391682,0.399219,0.402509,0.405366,0.405858,0.405683,0.405346,0.405195,0.404048,0.399267,0.39124,0.384129,0.378835,0.374863,0.367153,0.355363,0.343465,0.332166,0.323222,0.31651,0.314774,0.314521,0.315085,0.31674,0.31675,0.31062,0.303968,0.297564,0.291155,0.28475,0.27777,0.27339,0.271107,0.268223,0.26264,0.256762,0.25195,0.248359,0.243051,0.236698,0.230585,0.22258,0.219477,0.218059,0.218716,0.222997,0.228831
2239,0.437853,0.429015,0.422085,0.417119,0.412953,0.40855,0.402593,0.397697,0.393579,0.391046,0.390139,0.390859,0.390823,0.389008,0.386548,0.384589,0.381344,0.375229,0.368231,0.362074,0.354597,0.345426,0.336113,0.32807,0.322062,0.318573,0.31776,0.319952,0.324198,0.330086,0.339108,0.350776,0.362385,0.370924,0.376821,0.380618,0.380936,0.374819,0.360688,0.344438,0.330379,0.319461,0.310723,0.303811,0.299281,0.296987,0.296283,0.297427,0.300406,0.303872
2250,0.487413,0.480473,0.470152,0.458144,0.445514,0.432676,0.421331,0.411598,0.402645,0.393731,0.385971,0.378711,0.369597,0.357789,0.345004,0.333617,0.323421,0.31365,0.305916,0.301412,0.299758,0.299553,0.300412,0.301546,0.301958,0.301194,0.298594,0.29518,0.29118,0.286751,0.280992,0.274097,0.266923,0.260232,0.25369,0.248149,0.245208,0.248071,0.255585,0.265341,0.275903,0.287359,0.300263,0.312522,0.323537,0.332826,0.340525,0.347226,0.349788,0.350513
