READ	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38	n39	n40	n41	n42	n43	n44	n45	n46	n47	n48	n49	n50
4013	0.377335	0.379992	0.382726	0.385816	0.389251	0.392889	0.396458	0.399657	0.401878	0.403333	0.40413	0.404504	0.404714	0.404754	0.404649	0.404293	0.403468	0.401903	0.399775	0.397207	0.394405	0.391444	0.388364	0.385291	0.382228	0.379185	0.376132	0.373242	0.370544	0.368247	0.366343	0.364854	0.363749	0.362697	0.361227	0.359447	0.357729	0.356375	0.355525	0.355326	0.35589	0.357024	0.358063	0.358566	0.358569	0.358653	0.359172	0.360289	0.362045	0.364391
4014	0.561638	0.561338	0.561107	0.56083	0.560499	0.560116	0.559795	0.55966	0.559707	0.559861	0.560085	0.560419	0.560899	0.561543	0.562341	0.563291	0.564341	0.565428	0.566586	0.567901	0.569432	0.571031	0.572525	0.573721	0.574514	0.574947	0.575141	0.575288	0.575573	0.575935	0.575774	0.574439	0.571028	0.564752	0.555783	0.544404	0.531797	0.519296	0.50746	0.496641	0.487256	0.479487	0.473056	0.467683	0.462952	0.45864	0.45493	0.452114	0.450356	0.449798
4037	0.442625	0.442653	0.442797	0.443446	0.44486	0.447089	0.450009	0.45351	0.457967	0.463304	0.46919	0.476026	0.483342	0.490103	0.495142	0.498279	0.499708	0.499705	0.498727	0.497103	0.494825	0.491831	0.487891	0.482863	0.477058	0.470229	0.46246	0.454136	0.446003	0.438104	0.430365	0.422718	0.415189	0.408012	0.401351	0.395633	0.390234	0.384698	0.379102	0.373482	0.367941	0.362515	0.357194	0.352707	0.349587	0.348681	0.349671	0.352093	0.355614	0.359974
4053	0.440241	0.439523	0.439013	0.438527	0.437962	0.437331	0.436779	0.436424	0.436047	0.435393	0.434405	0.433279	0.432104	0.430613	0.428915	0.427191	0.425469	0.423792	0.422512	0.421876	0.421478	0.421202	0.420927	0.42069	0.420339	0.419989	0.419787	0.419754	0.420021	0.420743	0.421931	0.423614	0.425772	0.428311	0.431149	0.434261	0.43742	0.440417	0.443362	0.446126	0.448857	0.451704	0.4548	0.458441	0.462483	0.466536	0.470552	0.474343	0.478014	0.481951
4055	0.42069	0.419261	0.417417	0.415433	0.413306	0.41113	0.408909	0.406402	0.403364	0.400103	0.396884	0.39393	0.391526	0.3897	0.388407	0.387428	0.386543	0.385526	0.384449	0.383361	0.382374	0.381554	0.380646	0.379698	0.378786	0.377998	0.377295	0.376551	0.375667	0.374837	0.373941	0.372697	0.371235	0.369629	0.367714	0.365491	0.362993	0.360382	0.357788	0.355214	0.352388	0.349175	0.345785	0.34226	0.338503	0.334404	0.330073	0.325739	0.321247	0.316592
4056	0.364538	0.361652	0.359273	0.356809	0.354239	0.351771	0.3498	0.348442	0.347502	0.346435	0.34484	0.342809	0.340251	0.33725	0.334287	0.331842	0.329954	0.328359	0.327253	0.325986	0.324641	0.323128	0.320871	0.317874	0.313962	0.30974	0.305377	0.301088	0.296265	0.291049	0.285382	0.279677	0.273666	0.26708	0.260331	0.253633	0.247329	0.241458	0.235722	0.23019	0.225553	0.221927	0.218847	0.216112	0.213811	0.212181	0.210983	0.209595	0.208465	0.207734
4057	0.481853	0.481062	0.48015	0.478901	0.477312	0.475596	0.473871	0.472056	0.470045	0.468011	0.466046	0.464045	0.461741	0.459066	0.456097	0.452844	0.449313	0.445522	0.441566	0.437539	0.43341	0.429097	0.424536	0.419779	0.415039	0.410605	0.406571	0.402942	0.399739	0.396857	0.394141	0.391544	0.389144	0.387022	0.385249	0.38393	0.383157	0.382895	0.383027	0.383427	0.384026	0.384797	0.385631	0.386307	0.386859	0.387448	0.388252	0.389329	0.390623	0.391924
4066	0.47444	0.472001	0.469169	0.466011	0.462679	0.458894	0.454552	0.449875	0.445166	0.440484	0.435838	0.430816	0.424866	0.418036	0.410312	0.401707	0.392531	0.383214	0.373994	0.365065	0.35654	0.348674	0.341662	0.335883	0.331576	0.328479	0.326484	0.325532	0.32564	0.326817	0.329103	0.332616	0.337487	0.343892	0.351465	0.359937	0.368888	0.378035	0.387232	0.396208	0.404907	0.412881	0.41962	0.425427	0.430687	0.435597	0.440487	0.445471	0.450588	0.455699
4091	0.397639	0.397316	0.396948	0.396395	0.39577	0.394938	0.393876	0.392712	0.391666	0.390489	0.389469	0.388743	0.388326	0.387828	0.387056	0.385989	0.384762	0.383461	0.382202	0.381085	0.380205	0.379594	0.378915	0.378053	0.377144	0.376315	0.375462	0.374414	0.372994	0.371058	0.368629	0.365888	0.363444	0.361874	0.361817	0.363428	0.366426	0.370246	0.374287	0.377901	0.381036	0.383524	0.385757	0.387728	0.3891	0.389351	0.387677	0.385168	0.383304	0.38378
4098	0.418058	0.41769	0.417229	0.416711	0.416287	0.416021	0.415926	0.415932	0.415828	0.415002	0.412909	0.409823	0.406434	0.402984	0.399456	0.395723	0.391656	0.387021	0.381297	0.374602	0.367521	0.360434	0.353432	0.346445	0.339311	0.331737	0.323031	0.313174	0.302852	0.292649	0.282703	0.273053	0.263742	0.254759	0.246051	0.237905	0.23079	0.225176	0.221524	0.220036	0.220719	0.223436	0.2278	0.233293	0.239435	0.246056	0.25282	0.259355	0.265402	0.270748
4099	0.490727	0.491385	0.49129	0.490733	0.489888	0.488822	0.48757	0.486089	0.484367	0.482304	0.479618	0.476335	0.472747	0.469055	0.465158	0.461058	0.456957	0.452845	0.448707	0.44439	0.439698	0.434511	0.428863	0.423065	0.417255	0.41151	0.405889	0.400443	0.395146	0.389833	0.384367	0.378494	0.372726	0.367421	0.362635	0.358578	0.355301	0.352764	0.35098	0.3499	0.349247	0.348914	0.348723	0.348465	0.348334	0.348624	0.349516	0.351055	0.353246	0.356099
4105	0.447218	0.449561	0.452451	0.455733	0.459169	0.462468	0.465354	0.467505	0.469068	0.470363	0.471462	0.472288	0.472777	0.472981	0.472878	0.472578	0.472136	0.471562	0.470922	0.470186	0.469308	0.46823	0.467002	0.465726	0.464524	0.46355	0.463022	0.462949	0.46333	0.464161	0.465468	0.467247	0.469401	0.471855	0.474497	0.477148	0.479799	0.482505	0.485243	0.487957	0.49051	0.49294	0.49544	0.49798	0.500437	0.502623	0.504603	0.506242	0.507357	0.507973
